trial,loss,lr,bs,wd,grad_norm,mask_prob,warmup_ratio
42,4.409149378538132,0.00020962197531327868,64,0.17456239417356928,2.1181713335589847,0.22115414409244483,0.016367441978630812
66,4.46787965297699,0.00012553328129097558,64,0.07814961093322406,2.941831145617023,0.17468747557898517,0.01784166999541495
58,4.487804859876633,0.00016583761264180245,64,0.05154164466720451,2.5075266228264126,0.14203362912580209,0.01661969575869236
76,4.567393779754639,0.00013463411029471147,64,0.06937866395814647,2.357295082266596,0.16913222812748052,0.011777515089131848
45,4.652957379817963,0.0002731740508400714,64,0.11269911219388198,1.878718598680928,0.22121738681946324,0.08187926523032112
38,4.754597693681717,6.823301803359607e-05,32,0.09926226810618795,1.7679283321024712,0.14517210839613667,0.010778287160427745
32,4.788798943161964,0.00010459928044239174,32,0.14503617338551517,2.6882561600202144,0.15015368054366507,0.05731821177609913
34,4.899170277610658,9.461357971262768e-05,16,0.16240774191970264,1.7338752410296774,0.2181681846234192,0.04874380536382849
56,4.967941343784332,9.661111651334263e-05,64,0.05751483679379823,2.3667158969796835,0.15531127704460423,0.01844856308367576
28,5.003519669175148,7.22204954721081e-05,32,0.11576889543840316,2.6794295901349208,0.15382241851652909,0.08344274206574105
25,5.049067467451096,6.83558178986995e-05,32,0.1627740664556174,2.577193467900448,0.16286441948763877,0.05734670281103563
36,5.229554608464241,5.2791649873147785e-05,32,0.09680120517886788,2.8308754100686198,0.16603446563447793,0.047680305715538614
57,5.3191302716732025,4.7233332976374365e-05,64,0.0313949552117916,1.7519372712551116,0.17226742379838744,0.007832349228666442
55,5.324444383382797,4.002287104066741e-05,32,0.08713588917012191,1.8074360016103952,0.11642151124138361,0.0024382294072604095
49,5.3265950828790665,4.501559602603163e-05,32,0.17404678676617474,1.0339505877015363,0.15289777610018185,0.0034448455949233616
20,5.336525157094002,8.94507335048991e-05,32,0.10638287579113255,2.989559678661527,0.1363670269101711,0.1161701336201877
8,5.337207064032555,7.017579643372771e-05,32,0.19499193194384512,2.7311037621990497,0.13573676756084702,0.1486464964777785
37,5.341300696134567,5.689521083888452e-05,32,0.07894511735907406,2.9361607631528734,0.1444581795534717,0.13085944839719188
12,5.342078059911728,2.504958429180804e-05,32,0.07930901949405647,2.0354716674609232,0.135322141886071,0.197608781606052
19,5.342510402202606,0.00012424154058300545,128,0.057749898636553595,2.319590691840196,0.1094871044918789,0.20924677278442524
41,5.342678144574165,7.450407567714061e-05,32,0.005819314883081322,1.1226041245895633,0.1373872157709839,0.028851111256457437
7,5.3461964428424835,5.65521257915501e-05,32,0.2543467175985188,2.050893460182715,0.1068154055272866,0.18043545052262205
30,5.358764737844467,6.166424985045955e-05,64,0.15379761424000074,2.9453784958943103,0.13643502850352893,0.0906896726649494
35,5.362592667341232,3.753741779382039e-05,32,0.21587071039442496,2.61219505578231,0.19385272085694127,0.09292066843189392
43,5.363409161567688,6.320313163274154e-05,64,0.23987190475248749,2.006917240098524,0.24874787420671746,0.04116787417057571
23,5.369495928287506,2.5554847211536965e-05,32,0.0858519469268474,1.9090066482617511,0.17949469911109284,0.15243953731798182
40,5.370019170973036,5.2543975714742266e-05,16,0.19634645717519625,0.753018468985434,0.24126758072319995,0.021867986575827583
69,5.377188980579376,7.704602006981248e-05,64,0.0991049393016102,2.8988790316008295,0.20205608609295297,0.07893493265153975
31,5.378663897514343,1.6022693463954432e-05,32,0.1868973900288955,2.5033157290430124,0.13110887721456588,0.0645843148556048
63,5.381970047950745,7.069973509730599e-05,128,0.12931071820113854,1.102130394372097,0.2029665660619474,0.024652124494685283
16,5.395831823348999,1.4262896275992072e-05,32,0.048286565062317224,2.3263102911996683,0.11979168525124477,0.17942863083898603
14,5.399890795350075,1.785972941925039e-05,32,0.187741994450312,2.43452967257018,0.2049711675549622,0.2605270957912492
60,5.413779258728027,0.00013478264930919483,128,0.12384824901181739,2.762160779921924,0.10171316628210751,0.006073419351215016
17,5.414795860648155,1.2798665670436897e-05,32,0.13225600813996333,0.9477878808460498,0.10720431199648153,0.2680986764335429
29,5.4218398332595825,8.510703099347912e-05,256,0.25330851900061435,2.510756913966564,0.16635481373095312,0.01179510487160565
33,5.422782778739929,7.586225836182367e-05,256,0.09290015571158769,2.90082424961217,0.15097399789650626,0.05842223811747414
11,5.424564951942081,8.617797917409971e-05,16,0.10512485272238302,1.9871161252946727,0.12311730208457648,0.057108861440506864
22,5.425441861152649,0.00026176082139509386,256,0.21722240653025965,2.3886713478661123,0.12795758195538726,0.14547191933099365
74,5.427882432937622,0.00012465284313718875,512,0.10409912653350738,0.5287994737036555,0.2170325284980904,0.2366362788773026
65,5.428499817848206,5.625129540267656e-05,256,0.15861004428871528,1.5945147352275093,0.21023119956664693,0.038309928160431626
27,5.430631622672081,0.00012875122891527535,32,0.0037460934500257587,2.554765881060515,0.12671462513780174,0.060855129142921245
