trial_number,value,lr,bs,wd,grad_norm,mask_prob,warmup_ratio,training_time_minutes,bpe_mode
0,0.6670345552265644,0.000322,128,0.243,1.72,0.159,0.159,14.326694603761037,
1,0.6510947495698929,0.000283,128,0.248,2.85,0.157,0.157,14.33785678545634,
3,0.5699609518051147,0.000315,256,0.271,1.72,0.105,0.105,12.433138048648834,
4,0.6262092590332031,0.000312,256,0.235,2.23,0.123,0.123,12.43163119951884,
5,0.6850840002298355,0.000361,256,0.18,1.5,0.15,0.15,12.47185195684433,
6,0.7435411214828491,0.000301,512,0.252,2.85,0.161,0.13,11.812221976121267,
7,1.132830798625946,0.000511,512,0.006,2.91,0.291,0.291,11.81131827433904,
8,4.364344358444214,0.00017,512,0.261,2.03,0.03,0.03,11.765547060966492,
10,0.5925145223736763,0.0002315453461354168,256,0.08718478879011796,3.173416291167048,0.08859312520826244,0.11214567025768366,12.4794513463974,
12,0.8893823325634003,0.0001254254848493623,512,0.14416612645041643,2.4873199408398614,0.11592066933184243,0.11835504200924456,11.753707985083262,
14,0.6227767169475555,0.00016108336649335746,128,0.0564011818022016,3.8402071655494145,0.10975125565716284,0.08717145434789755,14.218523748715718,
31,0.66703961789608,0.0002742509230790943,256,0.22773130127489066,1.7199419047905717,0.12635063537498448,0.08012609449653915,12.442267584800721,
35,0.596483439207077,0.0003143161364102089,256,0.22235661368248663,2.692901073246521,0.11624443916662298,0.13116146488099367,12.455879032611847,
47,0.6418090760707855,0.00035195406016354626,256,0.2467594944622321,1.858268433845293,0.13313174063268676,0.12892847664556306,12.466460851828257,
67,0.6319377049803734,0.0002487118458598754,128,0.18660639097943277,2.310393161252099,0.14181595173525424,0.14717126280017634,14.216490304470062,
80,0.6017281487584114,0.0002908474086280503,256,0.2464278435940201,2.292455987736704,0.1186553341592096,0.1100571115297022,12.604667027791342,
101,0.6404170840978622,0.00046338967270468,256,0.22601295131711788,2.823053142163313,0.1279255220313899,0.1211977519863944,12.607363585631052,
103,0.5570767596364021,0.0003943226547609515,256,0.24895247635339834,2.2757121177646873,0.11401529376124711,0.1425752372102418,12.438297653198243,
293,0.6321415603160858,0.00034772914609565545,256,0.22416466408613323,2.2195438736161948,0.13196061245695942,0.12449964395448779,12.673486955960591,
503,0.5876960083842278,0.0003648920437543913,256,0.24240128844054826,2.4549523280204055,0.11914630545699281,0.11245536260675237,12.445806348323822,
630,0.5275975242257118,0.00031068359093446295,256,0.21618651284784512,2.806416375622087,0.1499791081943636,0.13314884666824384,13.457392466068267,
640,0.5075364336371422,0.0003153657778651181,256,0.22308388888094666,2.330442728519597,0.13522749806883222,0.10991867125633253,14.075224657853445,
653,0.5114204213023186,0.000258623872389141,128,0.20588949502563147,1.7240711726807774,0.1366362009185832,0.08401191222161751,16.066178317864736,
675,0.5432820580899715,0.00034758530424006443,128,0.08550024103074381,1.6685958227523148,0.14992410347636678,0.14985262232355848,15.770456119378407,
682,0.5600090771913528,0.000268341241449097,256,0.24914543012793494,1.7144637487615046,0.14986156797276537,0.12909579012140077,14.443374923865,
15,0.7232726067304611,0.000397,128,0.199,1.75,0.175,0.175,14.323180409272512,
16,0.6510947495698929,0.000283,128,0.248,2.85,0.157,0.157,14.295006962617238,
17,0.5699609518051147,0.000315,256,0.271,1.72,0.105,0.105,12.498474768797557,
